bike_name,brand,bike_url,rating,rating_count,engine_cc,mileage_kmpl,power_bhp,weight_kg,ex_showroom_price,price_segment,power_to_weight,price_per_bhp
Bajaj Pulsar RS 200,Bajaj,/bajaj-bikes/rs-200/,4.7,2148.0,199.5,35.0,24.1,167.0,180863,1–2 Lakh,0.144311377245509,7504.688796680497
Hero Xtreme 160R,Hero,/hero-bikes/xtreme/,4.3,597.0,163.2,49.65,14.79,139.5,109806,1–2 Lakh,0.10602150537634408,7424.340770791076
TVS Apache RTR 200 4V,TVS,/tvs-bikes/apache-200/,4.5,1736.0,197.75,41.9,20.54,152.0,138375,1–2 Lakh,0.1351315789473684,6736.854917234665
Triumph Speed T4,Triumph,/triumph-bikes/speed-t4/,4.3,21.0,349.0,30.0,28.6,180.0,207965,2–5 Lakh,0.15888888888888889,7271.5034965034965
TVS Sport,TVS,/tvs-bikes/sport/,4.4,1670.0,109.7,80.0,8.08,112.0,65714,Under 1 Lakh,0.07214285714285715,8132.920792079208
TVS XL 100 Heavy Duty,TVS,/tvs-bikes/xl-100-heavy-duty/,4.5,418.0,99.7,57.0,4.3,89.0,47918,Under 1 Lakh,0.048314606741573035,11143.72093023256
TVS Orbiter,TVS,/tvs-bikes/orbiter/,4.4,189.0,,,,112.0,102459,1–2 Lakh,,
OLA S1 Z,Ola Electric,/ola-bikes/s1-z/,4.0,12.0,,,,132.7,79999,Under 1 Lakh,,
Bajaj Pulsar 220F,Bajaj,/bajaj-bikes/pulsar-220f/,4.4,10.0,220.0,43.0,20.11,160.0,139686,1–2 Lakh,0.1256875,6946.0964694182
Honda Hornet 2.0,Honda,/honda-bikes/hornet/,4.2,612.0,184.4,42.3,17.03,142.0,149616,1–2 Lakh,0.11992957746478874,8785.437463300059
BMW S1000RR,BMW,/bmw-bikes/s1000rr/,4.8,61.0,999.0,16.0,206.51,197.0,2375000,Above 10 Lakh,1.0482741116751269,11500.653721369426
Kawasaki Ninja ZX-10R,Kawasaki,/kawasaki-bikes/ninja-zx-10r/,5.0,42.0,998.0,25.0,193.0,207.0,2079000,Above 10 Lakh,0.9323671497584541,10772.020725388602
Suzuki Burgman Street 125,Suzuki,/suzuki-bikes/burgman-street-125/,4.6,83.0,124.0,58.5,8.31,115.0,106095,1–2 Lakh,0.07226086956521739,12767.148014440432
Honda Activa e,Honda,/honda-bikes/activa-e/,4.5,193.0,,,,119.0,120133,1–2 Lakh,,
Honda Shine 100,Honda,/honda-bikes/shine-100/,4.6,713.0,98.98,65.0,7.28,103.0,65996,Under 1 Lakh,0.07067961165048543,9065.384615384615
TVS Radeon,TVS,/tvs-bikes/radeon/,4.3,641.0,109.7,63.0,8.08,115.0,73715,Under 1 Lakh,0.07026086956521739,9123.143564356436
Royal Enfield Scram 440,Royal Enfield,/royalenfield-bikes/scram-440/,4.4,75.0,443.0,30.0,25.4,196.0,224373,2–5 Lakh,0.12959183673469388,8833.582677165356
Hero Xoom 125,Hero,/hero-bikes/xoom-125/,4.3,163.0,124.6,52.8,9.8,121.0,86087,Under 1 Lakh,0.0809917355371901,8784.38775510204
Kawasaki Ninja 300,Kawasaki,/kawasaki-bikes/ninja-300/,3.3,2.0,296.0,27.0,38.88,179.0,334000,2–5 Lakh,0.21720670391061453,8590.534979423868
Bajaj Dominar 250,Bajaj,/bajaj-bikes/dominar-250/,4.5,400.0,248.8,35.0,26.63,180.0,186825,1–2 Lakh,0.14794444444444443,7015.583927900864
Royal Enfield Goan Classic 350,Royal Enfield,/royalenfield-bikes/goan-classic-350/,4.8,91.0,349.0,36.2,20.2,197.0,225311,2–5 Lakh,0.10253807106598985,11154.009900990099
Honda NX200,Honda,/honda-bikes/nx200/,4.7,65.0,184.4,42.0,16.76,148.0,160605,1–2 Lakh,0.11324324324324325,9582.637231503579
Suzuki Gixxer SF,Suzuki,/suzuki-bikes/gixxer-sf/,4.5,710.0,155.0,45.0,13.4,148.0,143272,1–2 Lakh,0.09054054054054055,10691.940298507463
OLA S1 X,Ola Electric,/ola-bikes/s1-x/,4.0,313.0,,,,113.0,89999,Under 1 Lakh,,
KTM 250 Adventure,KTM,/ktm-bikes/250-adventure/,4.3,46.0,248.76,31.0,30.5,177.0,252681,2–5 Lakh,0.17231638418079095,8284.622950819672
Hero Xtreme 160R 4V,Hero,/hero-bikes/xtreme-160r-4v/,4.7,179.0,163.2,45.0,16.6,145.0,134470,1–2 Lakh,0.11448275862068967,8100.602409638554
Jawa Perak,Jawa,/jawa-bikes/perak/,4.7,310.0,334.0,30.0,30.2,185.0,221820,2–5 Lakh,0.16324324324324324,7345.0331125827815
KTM 390 Duke R,KTM,/ktm-bikes/390-duke-r/,4.8,475.0,398.63,29.0,45.3,168.3,345036,2–5 Lakh,0.2691622103386809,7616.688741721855
Triumph Tracker 400,Triumph,/triumph-bikes/tracker-400/,4.4,10.0,349.0,27.7,39.45,183.0,242064,2–5 Lakh,0.2155737704918033,6135.969581749049
Harley-Davidson Sportster S,Harley-Davidson,/harleydavidson-bikes/sportster-s/,4.9,14.0,1252.0,20.0,120.69,228.0,1805000,Above 10 Lakh,0.5293421052631578,14955.671555224128
Bajaj Pulsar N125,Bajaj,/bajaj-bikes/pulsar-n125/,4.4,183.0,124.58,60.0,11.83,125.0,93694,Under 1 Lakh,0.09464,7920.033812341505
Hero Passion Plus,Hero,/hero-bikes/passion-plus/,4.6,415.0,97.2,71.0,7.91,116.0,79535,Under 1 Lakh,0.0681896551724138,10054.993678887484
Ather 450X,Ather,/ather-bikes/450x/,3.9,404.0,,,,111.6,153554,1–2 Lakh,,
Simple Energy Wave,Simple Energy,/simple-energy-bikes/wave/,3.5,5.0,,,,,109999,1–2 Lakh,,
River Indie,River,/river-bikes/indie/,4.3,155.0,,,,135.0,152600,1–2 Lakh,,
Kawasaki Ninja ZX-6R,Kawasaki,/kawasaki-bikes/ninja-zx-6r/,4.8,25.0,636.0,22.0,122.03,198.0,1248948,Above 10 Lakh,0.6163131313131314,10234.761943784315
Hero Destini 125,Hero,/hero-bikes/destini-125/,4.6,149.0,124.6,59.0,9.0,115.0,81701,Under 1 Lakh,0.0782608695652174,9077.888888888889
TVS Apache RTR 180,TVS,/tvs-bikes/apache-180/,4.6,704.0,177.4,42.0,16.78,140.0,127730,1–2 Lakh,0.11985714285714287,7612.038140643623
Royal Enfield Classic 650,Royal Enfield,/royalenfield-bikes/classic-650/,4.7,55.0,647.95,26.5,46.39,243.0,367592,2–5 Lakh,0.19090534979423868,7923.949126967019
Hero Super Splendor Xtec 2.0,Hero,/hero-bikes/super-splendor-xtec-20/,4.3,21.0,124.7,75.0,10.7,121.0,85925,Under 1 Lakh,0.0884297520661157,8030.373831775702
Bajaj Freedom,Bajaj,/bajaj-bikes/cng-freedom-125/,4.6,756.0,125.0,,9.3,149.0,104237,1–2 Lakh,0.06241610738255034,11208.279569892473
Royal Enfield Bullet 650,Royal Enfield,/royalenfield-bikes/bullet-650/,4.2,5.0,647.95,,46.39,243.0,364856,2–5 Lakh,0.19090534979423868,7864.970898900625
Bajaj Platina 100,Bajaj,/bajaj-bikes/platina-100/,4.5,1927.0,99.59,75.0,7.79,117.0,71038,Under 1 Lakh,0.06658119658119659,9119.127086007702
Royal Enfield Flying Flea C6,Royal Enfield,/royalenfield-bikes/flying-flea/,3.4,19.0,,,,124.0,279000,2–5 Lakh,,
Hero Glamour,Hero,/hero-bikes/glamour/,4.1,1298.0,124.7,65.0,10.39,122.5,85003,Under 1 Lakh,0.08481632653061225,8181.231953801732
Suzuki Hayabusa,Suzuki,/suzuki-bikes/hayabusa/,4.8,34.0,1340.0,18.0,190.0,266.0,1806885,Above 10 Lakh,0.7142857142857143,9509.921052631578
Triumph Street Triple RS,Triumph,/triumph-bikes/street-triple-rs/,4.8,27.0,765.0,19.5,128.2,188.0,1322800,Above 10 Lakh,0.6819148936170212,10318.252730109205
Jawa 350,Jawa,/jawa-bikes/350/,3.8,46.0,334.0,29.5,22.26,194.0,182531,1–2 Lakh,0.11474226804123712,8199.95507637017
Aprilia Tuono 457,Aprilia,/aprilia-bikes/tuono-457/,4.7,19.0,457.0,29.0,46.9,175.0,406198,2–5 Lakh,0.268,8660.938166311302
Yezdi Scrambler,Yezdi,/yezdi-bikes/scrambler/,3.6,7.0,334.0,,29.56,174.0,201981,2–5 Lakh,0.16988505747126437,6832.916102841678
Keeway SR125,Keeway,/keeway-bikes/sr125/,4.2,183.0,125.0,47.0,9.56,120.0,128987,1–2 Lakh,0.07966666666666668,13492.364016736401
Kawasaki Ninja 500 [2027],Kawasaki,/kawasaki-bikes/ninja-500-2027/,,,451.0,21.0,44.7,171.0,576000,5–10 Lakh,0.26140350877192986,12885.906040268455
Ducati Panigale V4 Lamborghini,Ducati,/ducati-bikes/panigale-v4-lamborghini/,4.1,7.0,1103.0,12.0,216.0,185.0,10000000,Above 10 Lakh,1.1675675675675676,46296.2962962963
Kawasaki W175,Kawasaki,/kawasaki-bikes/w175/,4.2,88.0,177.0,42.0,12.8,135.0,115006,1–2 Lakh,0.09481481481481482,8984.84375
Ultraviolette Tesseract,Ultraviolette,/ultraviolette-bikes/tesseract/,4.8,207.0,,,,,145000,1–2 Lakh,,
Royal Enfield Bear 650,Royal Enfield,/royalenfield-bikes/bear-650/,4.5,37.0,648.0,22.0,46.8,216.0,378208,2–5 Lakh,0.21666666666666665,8081.3675213675215
Hero Pleasure Plus,Hero,/hero-bikes/pleasure-plus/,4.5,511.0,110.9,50.0,8.0,104.0,70372,Under 1 Lakh,0.07692307692307693,8796.5
KTM 1390 Super Duke R,KTM,/ktm-bikes/1390-super-duke-r/,4.7,40.0,1350.0,16.9,187.7,210.0,2295800,Above 10 Lakh,0.8938095238095237,12231.220031965904
Suzuki Gixxer,Suzuki,/suzuki-bikes/gixxer/,4.3,291.0,155.0,45.0,13.41,141.0,129449,1–2 Lakh,0.09510638297872341,9653.16927665921
Yamaha FZ Blue Flex,Yamaha,/yamaha-bikes/fz-flex/,4.0,7.0,149.0,50.0,11.53,136.0,126102,1–2 Lakh,0.08477941176470588,10936.86036426713
Ultraviolette X47 Crossover,Ultraviolette,/ultraviolette-bikes/x47-crossover/,4.2,38.0,,,,208.0,249000,2–5 Lakh,,
Kawasaki Z650,Kawasaki,/kawasaki-bikes/z650/,4.9,93.0,649.0,27.0,67.31,191.0,725960,5–10 Lakh,0.3524083769633508,10785.32164611499
Bajaj Platina 110,Bajaj,/bajaj-bikes/platina-110/,4.4,761.0,115.45,70.0,8.48,119.0,75798,Under 1 Lakh,0.07126050420168067,8938.443396226414
Yamaha R15S,Yamaha,/yamaha-bikes/r15-s/,4.8,257.0,155.0,46.0,18.1,142.0,160026,1–2 Lakh,0.12746478873239436,8841.215469613258
Suzuki Avenis 125,Suzuki,/suzuki-bikes/avenis/,4.6,355.0,124.3,49.6,8.58,106.0,93011,Under 1 Lakh,0.0809433962264151,10840.44289044289
Bajaj CT 110,Bajaj,/bajaj-bikes/ct-110/,4.4,467.0,115.45,70.0,8.48,127.0,74847,Under 1 Lakh,0.0667716535433071,8826.29716981132
Hero Xoom 160,Hero,/hero-bikes/xoom-160/,4.7,79.0,156.0,40.5,14.6,142.5,143051,1–2 Lakh,0.10245614035087719,9798.013698630137
Hero Karizma XMR,Hero,/hero-bikes/karizma-xmr/,4.4,212.0,210.0,35.0,25.15,163.5,186644,1–2 Lakh,0.15382262996941895,7421.232604373758
Suzuki Gixxer SF 250,Suzuki,/suzuki-bikes/gixxer-sf-250/,4.6,241.0,249.0,35.0,26.13,161.0,195328,1–2 Lakh,0.16229813664596274,7475.239188672025
TVS Star City Plus,TVS,/tvs-bikes/star-city/,4.4,789.0,109.7,70.0,8.08,116.0,72026,Under 1 Lakh,0.0696551724137931,8914.10891089109
Hero Splendor Plus Flex Fuel,Hero,/hero-bikes/splendor-plus-flex-fuel/,4.6,26.0,97.2,62.0,8.44,113.0,81199,Under 1 Lakh,0.07469026548672567,9620.7345971564
Bajaj Pulsar 180,Bajaj,/bajaj-bikes/pulsar-180/,4.3,13.0,178.61,44.0,16.76,156.0,122925,1–2 Lakh,0.10743589743589745,7334.427207637231
Yamaha FZ Rave,Yamaha,/yamaha-bikes/fz-rave/,4.5,22.0,149.0,50.0,12.2,136.0,125642,1–2 Lakh,0.08970588235294118,10298.524590163935
